STT,Mã cp,Tên chính thức,Ngành,Từ khóa 
90,VCG,Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam,Đầu tư công xây dựng,"VCG, Xuất nhập khẩu và Xây dựng Việt Nam"
91,VCI,CTCP Chứng khoán Vietcap,Chứng khoán,"VCI, Vietcap"
92,VGC,Tổng Công ty Viglacera - CTCP,BĐS Khu công nghiệp,"VGC, Viglacera"
93,VHC,CTCP Vĩnh Hoàn,Thủy sản,"VHC, Vĩnh Hoàn"
94,VHM,CTCP Vinhomes,BĐS,"VHM, Vinhomes"
95,VIB,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng,"VIB, Ngân hàng Quốc tế"
96,VIC,Tập đoàn Vingroup - CTCP,BĐS,"VIC, Vingroup"
97,VIX,CTCP Chứng khoán VIX,Chứng khoán,"VIX, Chứng khoán Vix"
98,VJC,CTCP Hàng không Vietjet,Hàng không,"VJC, Vietjet, Vietjet Air"
99,VND,CTCP Chứng khoán VNDirect,Chứng khoán,"VND, VNDirect"
100,VNM,CTCP Sữa Việt Nam,Thực phẩm và đồ uống,"VNM, Vinamilk, Sữa Việt Nam"
101,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng,"VPB, VP Bank, Việt Nam Thịnh Vượng"
102,VPI,CTCP Phát triển Bất động sản Văn Phú,BĐS,"VPI, Bất động sản Văn Phú"
103,VRE,CTCP Vincom Retail,BĐS,"VRE, Vincom Retail"
104,VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh,Điện,"VSH, Thủy điện Vĩnh Sơn - Sông Hinh"
105,VTP,Tổng CTCP Bưu chính Viettel,,"VTP, Viettel Post, Bưu chính Viettel"
